,総合物価上昇率(年率),完全失業率（％）男女計,date,year
1972-01-01,1.0403726708074532,0.0,1972-01-01,1972
1972-02-01,1.046583850931677,0.0,1972-02-01,1972
1972-03-01,1.0526315789473686,0.0,1972-03-01,1972
1972-04-01,1.0519877675840976,0.0,1972-04-01,1972
1972-05-01,1.051829268292683,0.0,1972-05-01,1972
1972-06-01,1.0486322188449848,0.0,1972-06-01,1972
1972-07-01,1.0486322188449848,1.3,1972-07-01,1972
1972-08-01,1.0577507598784195,1.3,1972-08-01,1972
1972-09-01,1.0385756676557862,1.5,1972-09-01,1972
1972-10-01,1.0414201183431955,1.2,1972-10-01,1972
1972-11-01,1.0477611940298508,1.2,1972-11-01,1972
1972-12-01,1.0567164179104478,1.3,1972-12-01,1972
1973-01-01,1.0656716417910448,1.5,1973-01-01,1973
1973-02-01,1.0682492581602372,1.5,1973-02-01,1973
1973-03-01,1.0852941176470587,1.6,1973-03-01,1973
1973-04-01,1.0930232558139537,1.4,1973-04-01,1973
1973-05-01,1.1072463768115943,1.3,1973-05-01,1973
1973-06-01,1.1101449275362318,1.3,1973-06-01,1973
1973-07-01,1.118840579710145,1.2,1973-07-01,1973
1973-08-01,1.117816091954023,1.1,1973-08-01,1973
1973-09-01,1.1428571428571428,1.2,1973-09-01,1973
1973-10-01,1.1420454545454546,1.0,1973-10-01,1973
1973-11-01,1.1538461538461537,1.0,1973-11-01,1973
1973-12-01,1.1807909604519773,1.1,1973-12-01,1973
1974-01-01,1.2212885154061623,1.4,1974-01-01,1974
1974-02-01,1.25,1.6,1974-02-01,1974
1974-03-01,1.2276422764227641,1.7,1974-03-01,1974
1974-04-01,1.2340425531914894,1.3,1974-04-01,1974
1974-05-01,1.219895287958115,1.2,1974-05-01,1974
1974-06-01,1.2245430809399478,1.2,1974-06-01,1974
1974-07-01,1.238341968911917,1.1,1974-07-01,1974
1974-08-01,1.2416452442159382,1.4,1974-08-01,1974
1974-09-01,1.225,1.3,1974-09-01,1974
1974-10-01,1.2462686567164178,1.4,1974-10-01,1974
1974-11-01,1.2469135802469136,1.3,1974-11-01,1974
1974-12-01,1.210526315789474,1.6,1974-12-01,1974
1975-01-01,1.1743119266055047,2.0,1975-01-01,1975
1975-02-01,1.14,2.1,1975-02-01,1975
1975-03-01,1.141280353200883,2.2,1975-03-01,1975
1975-04-01,1.1336206896551724,1.9,1975-04-01,1975
1975-05-01,1.1351931330472103,1.7,1975-05-01,1975
1975-06-01,1.1279317697228144,1.7,1975-06-01,1975
1975-07-01,1.1108786610878663,1.6,1975-07-01,1975
1975-08-01,1.0952380952380953,1.8,1975-08-01,1975
1975-09-01,1.1040816326530614,1.9,1975-09-01,1975
1975-10-01,1.0958083832335328,1.9,1975-10-01,1975
1975-11-01,1.0831683168316832,1.9,1975-11-01,1975
1975-12-01,1.0810276679841897,2.0,1975-12-01,1975
1976-01-01,1.087890625,2.4,1976-01-01,1976
1976-02-01,1.0935672514619883,2.4,1976-02-01,1976
1976-03-01,1.0889748549323017,2.4,1976-03-01,1976
1976-04-01,1.0950570342205324,2.1,1976-04-01,1976
1976-05-01,1.0926275992438563,2.0,1976-05-01,1976
1976-06-01,1.0945179584120983,1.9,1976-06-01,1976
1976-07-01,1.0979284369114877,1.8,1976-07-01,1976
1976-08-01,1.0945179584120983,1.9,1976-08-01,1976
1976-09-01,1.097966728280961,1.9,1976-09-01,1976
1976-10-01,1.0874316939890711,1.8,1976-10-01,1976
1976-11-01,1.0914076782449726,1.8,1976-11-01,1976
1976-12-01,1.1042047531992687,1.7,1976-12-01,1976
1977-01-01,1.0933572710951525,2.2,1977-01-01,1977
1977-02-01,1.0926916221033867,2.3,1977-02-01,1977
1977-03-01,1.094138543516874,2.4,1977-03-01,1977
1977-04-01,1.0868055555555556,1.9,1977-04-01,1977
1977-05-01,1.0934256055363323,2.0,1977-05-01,1977
1977-06-01,1.0880829015544042,2.0,1977-06-01,1977
1977-07-01,1.0771869639794167,1.9,1977-07-01,1977
1977-08-01,1.0863557858376511,1.9,1977-08-01,1977
1977-09-01,1.0757575757575757,1.9,1977-09-01,1977
1977-10-01,1.0770519262981573,1.8,1977-10-01,1977
1977-11-01,1.065326633165829,1.9,1977-11-01,1977
1977-12-01,1.0513245033112584,2.1,1977-12-01,1977
1978-01-01,1.045977011494253,2.4,1978-01-01,1978
